name,location,adname,address,type,rating,catering,accommodation,mall,store,superMarket,personal_items,residence,business,hospital,school,bus,parking,metro,GDP,country_income,country_consume,urban_income,urban_consume,population
周天百货购物广场,"112.428979,34.417571",伊川县,洛阳市伊川县民主南街,商场,3.5 ,290,50,5,25,15,25,25,0,18,2,24,6,0,290,8730,6750,19024,14805,45.66
宜阳百货大楼,"112.180662,34.515565",宜阳县,洛阳市宜阳县红旗中路13号,商场,3.5 ,375,22,9,25,10,24,20,8,22,1,11,13,0,193.8,6869,4537,19566,18095,60.6
驿站时尚广场,"112.790155,34.72276",偃师市,洛阳市偃师市商都路与槐新路交叉口东南50米,商场,3.0 ,418,99,6,50,15,25,25,1,17,3,25,21,0,354.0161,12596,7907,22357,14194,62.1853
百货大楼,"112.159402,34.720879",新安县,洛阳市新安县府前街与魏郡大街交叉口东北100米,商场,3.5 ,96,14,2,25,7,6,20,1,8,1,15,6,0,343.9188,9743,7254,22541,17820,47.45
新尚街时尚购物,"111.616886,33.783275",栾川县,洛阳市栾川县步行街与耕莘路交叉口西南100米,商场,3.5 ,279,75,10,25,10,25,11,1,20,0,11,3,0,25.33,9910,6788,23114,14332,16.33
春都大厦,"112.177217,34.515079",宜阳县,洛阳市宜阳县红旗中路,商场,3.5 ,352,24,9,25,13,24,16,9,16,2,6,8,0,193.8,6869,4537,19566,18095,60.6
特别超市(双湘店),"112.307282,34.688414",新安县,洛阳市新安县京津路与滨河路交叉口南100米,商场,4.5 ,50,10,1,5,4,0,10,1,2,1,4,4,0,343.9188,9743,7254,22541,17820,47.45
惠万家生活购物广场(水寨店),"112.473476,34.422497",伊川县,洛阳市伊川县洛临路98附近,商场,3.5 ,75,13,1,21,5,6,3,0,1,0,7,1,0,290,8730,6750,19024,14805,45.66
潭头商场,"111.758941,34.001732",栾川县,洛阳市栾川县金城东路8号附近,商场,3.5 ,25,14,2,9,4,3,0,0,0,0,2,0,0,25.33,9910,6788,23114,14332,16.33
周天百货(嵩县旗舰店),"112.083757,34.125007",嵩县,洛阳市嵩县洛栾路白云大道,商场,3.5 ,288,25,1,50,15,15,25,2,4,1,25,4,0,20.13,6455,5099,17009,13665,15.98
万象购物广场,"112.040422,34.516605",宜阳县,洛阳市宜阳县323省道北50米,商场,3.5 ,25,4,1,8,3,5,1,0,0,0,6,0,0,193.8,6869,4537,19566,18095,60.6
亿江财富,"112.192575,34.517623",宜阳县,洛阳市宜阳县文明东路与矿口路交叉口西南50米,商场,3.5 ,100,9,2,15,5,3,15,1,5,0,5,6,0,193.8,6869,4537,19566,18095,60.6
二轻购物广场,"111.646664,34.387572",洛宁县,洛阳市洛宁县兴宁中路与延滨一路交叉口西南50米,商场,3.5 ,224,25,5,25,8,15,8,3,7,1,25,3,0,88.1748,10740,6789,27770,17654,32.4
锦花时代购物广场,"112.176314,34.516608",宜阳县,洛阳市宜阳县文化北路与育新路交叉口西南100米,商场,3.0 ,402,25,8,25,14,25,15,8,23,3,11,10,0,193.8,6869,4537,19566,18095,60.6
桂花市场,"112.441879,34.826601",孟津县,洛阳市孟津县新华路与桂花大道交叉口东北100米,商场,3.5 ,168,21,3,25,10,7,25,3,5,4,17,9,0,202.58,8385,3337,19695,13883,41.84
盛世凯达百货,"112.417144,34.419287",伊川县,洛阳市伊川县荆山西路345附近,商场,3.5 ,148,1,1,25,5,4,19,2,3,3,8,0,0,290,8730,6750,19024,14805,45.66
金源商贸,"111.616842,33.784365",栾川县,洛阳市栾川县兴华中路001号,商场,3.5 ,243,75,10,25,8,25,12,1,17,0,8,2,0,25.33,9910,6788,23114,14332,16.33
新都汇,"112.193633,34.517",宜阳县,洛阳市宜阳县红旗东路与矿口路交叉口,商场,3.5 ,100,7,2,13,5,3,13,1,5,0,5,6,0,193.8,6869,4537,19566,18095,60.6
亿家隆购物广场(石寺店),"112.10912,34.828298",新安县,洛阳市新安县石寺镇东街新安大道旁,商场,2.9 ,25,3,2,7,5,0,2,0,1,1,9,0,0,343.9188,9743,7254,22541,17820,47.45
龙泉商厦,"111.618451,33.785538",栾川县,洛阳市栾川县兴华中路与文化路交叉口东北50米,商场,3.5 ,190,50,8,25,7,23,10,1,15,0,9,0,0,25.33,9910,6788,23114,14332,16.33
盛德美SPLENDID MALL,"111.635689,33.784",栾川县,洛阳市栾川县滨河大道北100米,商场,3.5 ,125,12,4,12,1,3,11,1,2,0,5,5,0,25.33,9910,6788,23114,14332,16.33
金三角购物广场(送庄店),"112.563705,34.794917",孟津县,洛阳市孟津县梁跃线,商场,3.5 ,5,0,1,1,0,0,0,0,0,1,2,0,0,202.58,8385,3337,19695,13883,41.84
君山购物商场,"111.624113,33.776701",栾川县,洛阳市栾川县君山西路70号附近,商场,3.5 ,214,75,2,25,7,6,16,2,12,0,6,9,0,25.33,9910,6788,23114,14332,16.33
美乐美购物中心,"112.485971,34.473785",伊川县,洛阳市伊川县彭婆镇南衙村彭婆镇238省道与高新四路交叉口中国石化加油站对面,商场,3.5 ,25,2,1,2,0,1,0,0,0,0,3,0,0,290,8730,6750,19024,14805,45.66
永辉百货广场,"112.436586,34.417799",伊川县,洛阳市伊川县酒城南路360号,商场,3.5 ,217,50,2,25,12,18,13,3,2,4,21,6,0,290,8730,6750,19024,14805,45.66
盛祥时尚广场,"112.140229,34.729751",新安县,洛阳市新安县涧河中路,商场,1.3 ,192,23,1,25,10,25,23,2,10,1,25,25,0,343.9188,9743,7254,22541,17820,47.45
菲英特生活广场,"112.166315,34.514864",宜阳县,洛阳市宜阳县红旗西路与西关路交叉口南50米,商场,4.4 ,125,9,1,14,9,6,13,0,5,0,4,1,0,193.8,6869,4537,19566,18095,60.6
恒丰购物广场(伊川半坡专卖店),"112.711546,34.368923",伊川县,洛阳市伊川县半坡乡半坡村,商场,2.0 ,8,1,1,3,0,1,0,0,1,0,0,0,0,290,8730,6750,19024,14805,45.66
新世纪超市,"111.390031,33.93183",栾川县,洛阳市栾川县328省道东150米,商场,3.5 ,6,4,1,1,1,0,0,0,1,0,3,0,0,25.33,9910,6788,23114,14332,16.33
大千元百货,"112.469405,34.152645",汝阳县,洛阳市汝阳县人民路中心花坛西50米,商场,3.0 ,250,24,8,25,9,13,21,1,9,4,20,9,0,115.5195,6653,5215,18421.5,10938,41.36
万生购物广场,"111.830931,34.423728",宜阳县,洛阳市宜阳县319省道附近,商场,3.5 ,25,2,1,4,1,5,0,0,2,0,4,0,0,193.8,6869,4537,19566,18095,60.6
丹尼斯(北大街店),"112.477299,34.687872",老城区,洛阳市老城区北大街与唐宫东路交叉口,大型知名商超,3.5 ,594,25,6,25,20,25,75,3,25,1,22,24,2,24.5864,9810,6523,24597,15443,17.6587
大张盛德美,"112.590499,34.897437",吉利区,洛阳市吉利区河阳路701号,大型知名商超,4.6 ,100,7,2,13,2,7,5,2,3,1,12,13,0,46.5255,10619,7509,29440,19995,35.43
金鼎国际购物中心,"112.406666,34.646712",涧西区,洛阳市涧西区南昌路壹号城邦9号楼1楼,商场,3.5 ,444,75,4,19,12,25,25,10,10,2,20,25,0,73.228,13023,9607,25431,16032,45.2557
王府井百货,"112.433475,34.668338",西工区,洛阳市西工区中州中路433附近,商场,4.9 ,391,25,7,25,11,25,25,16,10,1,25,50,3,133.9005,15701,14909,38783,26889,36.21
洛阳润峰购物中心,"112.38534,34.660818",涧西区,洛阳市涧西区青岛路与西苑路交叉口北40米,商场,3.5 ,411,25,14,25,8,20,25,6,7,3,15,18,2,73.228,13023,9607,25431,16032,45.2557
德众锦华购物广场,"112.480034,34.684304",老城区,洛阳市老城区中州东路286,商场,3.5 ,627,50,10,25,11,18,50,5,23,0,11,25,2,24.5864,9810,6523,24597,15443,17.6587
汉德九洲城(建设中),"112.448912,34.679403",西工区,洛阳市西工区唐宫中路与玻璃厂路交汇处西北角,商场,3.5 ,141,7,1,16,6,3,21,1,8,0,6,13,2,133.9005,15701,14909,38783,26889,36.21
盛德美(红旗中路店),"112.182497,34.514975",宜阳县,洛阳市宜阳县城关镇红旗中路20-2号,商场,3.0 ,298,18,7,25,7,16,22,6,19,1,4,10,0,193.8,6869,4537,19566,18095,60.6
新都汇中原CBD首席购物公园(北门),"112.43519,34.671561",西工区,洛阳市西工区唐宫西路与解放路交叉口南100米,商场,3.5 ,531,50,9,25,11,25,50,16,11,2,20,25,4,133.9005,15701,14909,38783,26889,36.21
大张盛德美购物广场(新安店),"112.145456,34.726184",新安县,洛阳市新安县上海路,大型知名商超,4.6 ,259,25,1,25,10,25,15,0,3,2,25,18,0,343.9188,9743,7254,22541,17820,47.45
非常平价购物广场,"112.343709,34.682264",涧西区,洛阳市涧西区中州西路与谷党路交叉口北100米,商场,3.5 ,25,2,1,10,2,2,6,0,2,0,6,0,1,73.228,13023,9607,25431,16032,45.2557
洛宁紫竹购物中心,"111.65813,34.384845",洛宁县,洛阳市洛宁县永宁大道与翔梧路交叉口西北100米,商场,3.5 ,156,9,3,21,3,10,25,1,4,2,1,9,0,88.1748,10740,6789,27770,17654,32.4
愉悦购物中心,"112.267402,34.566481",宜阳县,洛阳市宜阳县香鹿山镇牌窑村,商场,3.5 ,50,2,1,4,5,4,5,0,1,0,6,0,0,193.8,6869,4537,19566,18095,60.6
时代购物广场(商都路),"112.794024,34.722855",偃师市,洛阳市偃师市商都路商都东路102号,商场,3.5 ,383,75,5,50,15,18,25,1,25,6,25,19,0,354.0161,12596,7907,22357,14194,62.1853
佳惠购物广场,"112.709534,34.578296",偃师市,洛阳市偃师市府李路与政通街交叉口北50米,商场,3.5 ,25,2,1,8,3,6,5,0,2,1,0,0,0,354.0161,12596,7907,22357,14194,62.1853
金三角供销购物广场(仓头店),"112.279336,34.84854",新安县,洛阳市新安县新仓大道,商场,3.0 ,12,2,1,3,1,2,3,0,0,0,1,0,0,343.9188,9743,7254,22541,17820,47.45
新凤山购物广场,"112.471149,34.152829",汝阳县,洛阳市汝阳县人民路与新华路交叉口东100米,商场,3.5 ,240,25,8,25,8,12,25,2,10,0,19,11,0,115.5195,6653,5215,18421.5,10938,41.36
喜洋洋购物中心,"112.324852,34.748246",孟津县,洛阳市孟津县霍村,商场,3.0 ,5,0,1,1,3,0,1,0,1,0,0,0,0,202.58,8385,3337,19695,13883,41.84
五彩城购物广场(装修中),"111.660139,34.384178",洛宁县,洛阳市洛宁县城郊乡永宁大道(大张盛德美斜对面),商场,3.5 ,142,3,3,14,4,9,21,1,5,1,1,10,0,88.1748,10740,6789,27770,17654,32.4
鸿强购物广场,"112.180241,34.515565",宜阳县,洛阳市宜阳县红旗中路11号附近,商场,3.5 ,370,21,9,25,11,23,20,8,25,1,11,13,0,193.8,6869,4537,19566,18095,60.6
大张超市(伊滨一号店),"112.526786,34.583092",洛龙区,洛阳市洛龙区伊滨一号小区35号附属楼,大型知名商超,4.6 ,75,1,0,1,3,3,7,0,2,0,0,0,0,172.4,14086,14312,33971,23477,38.69
大张超市(道北店),"112.451273,34.689135",老城区,洛阳市老城区道北路街道春都路82号大张超市,大型知名商超,4.6 ,75,13,1,23,4,1,25,1,3,0,8,6,0,24.5864,9810,6523,24597,15443,17.6587
大张购物广场(纱西店),"112.414179,34.678996",西工区,洛阳市西工区纱厂西路104号七色数码大张购物广场西侧,大型知名商超,4.6 ,116,12,0,25,9,4,24,0,5,0,3,12,0,133.9005,15701,14909,38783,26889,36.21
大张盛德美购物广场景华路店),"112.395966,34.661752",涧西区,洛阳市涧西区景华路26号,大型知名商超,4.7 ,309,25,2,25,6,7,25,5,25,2,10,25,2,73.228,13023,9607,25431,16032,45.2557
豪迈生活广场,"112.496412,34.691878",瀍河回族区,洛阳市瀍河回族区夹马营路15号,超级市场,3.5 ,100,19,0,16,8,2,25,0,10,5,8,6,2,82.7693,11128,9140,25222.11,13646.73,18.84
大张超市(创新店),"112.407549,34.629082",涧西区,洛阳市涧西区创业路52号,大型知名商超,4.6 ,118,15,0,13,7,1,25,1,4,0,9,20,0,73.228,13023,9607,25431,16032,45.2557
大张量贩(关林店),"112.476604,34.618368",洛龙区,洛阳市洛龙区关林镇钱江家具广场2层C区7号,大型知名商超,1.0 ,369,75,2,25,8,16,17,0,5,0,16,22,0,172.4,14086,14312,33971,23477,38.69
屈臣氏(解放路店),"112.435341,34.670769",西工区,洛阳市西工区解放路56号新都汇购物公园F1层,超级市场,4.7 ,558,50,9,25,12,25,50,19,9,2,25,50,4,133.9005,15701,14909,38783,26889,36.21
丹尼斯超市(凝碧店),"112.425793,34.631055",洛龙区,洛阳市洛龙区凝碧北街与滨河南路向东200处,大型知名商超,3.5 ,50,8,0,5,4,0,17,0,3,0,4,6,0,172.4,14086,14312,33971,23477,38.69
屈臣氏(万达广场),"112.407753,34.654825",涧西区,洛阳市涧西区辽宁路168号万达广场1层A132、133万达百货,超级市场,4.7 ,285,25,5,12,4,25,25,4,12,0,8,25,2,73.228,13023,9607,25431,16032,45.2557
大张购物广场(洛阳老集店),"112.475735,34.683109",老城区,洛阳市老城区中州东路408号,大型知名商超,4.7 ,573,50,9,25,12,24,50,3,25,0,8,24,2,24.5864,9810,6523,24597,15443,17.6587
西城量贩(道北店),"112.442731,34.688097",老城区,洛阳市老城区道北路街道158号,超级市场,3.0 ,172,24,0,25,8,4,24,1,6,0,13,3,1,24.5864,9810,6523,24597,15443,17.6587
屈臣氏(洛阳建业凯旋广场店),"112.450321,34.672273",西工区,洛阳市西工区中州中路245号建业凯旋广场1层,超级市场,4.8 ,430,25,7,21,6,25,25,17,19,2,5,25,2,133.9005,15701,14909,38783,26889,36.21
屈臣氏(王府井购物中心),"112.408135,34.64489",涧西区,洛阳市涧西区南昌路139号王府井购物中心B1层,超级市场,4.8 ,353,50,4,20,11,25,50,9,8,2,15,25,0,73.228,13023,9607,25431,16032,45.2557
大张超市(建华店),"112.39163,34.66893",涧西区,洛阳市涧西区建设路93号,大型知名商超,4.8 ,124,14,0,12,9,0,25,3,4,0,7,8,0,73.228,13023,9607,25431,16032,45.2557
永辉超市(开元大道店),"112.463475,34.617421",洛龙区,洛阳市洛龙区开元大道宝龙城市广场座1-2层,超级市场,4.4 ,428,121,3,9,8,13,8,10,2,0,20,19,0,172.4,14086,14312,33971,23477,38.69
大张超市(一五二店),"112.372124,34.605175",涧西区,洛阳市涧西区积翠路与河洛路交汇处,大型知名商超,4.6 ,50,5,0,4,1,0,3,0,1,0,8,3,0,73.228,13023,9607,25431,16032,45.2557
大张量贩(嵩北店),"112.407115,34.677293",涧西区,洛阳市涧西区嵩山路与芳华路交叉口,大型知名商超,3.5 ,136,4,0,18,12,5,20,0,5,0,5,5,0,73.228,13023,9607,25431,16032,45.2557
好宜多(世纪隆大型生活超市购物广场店),"112.523446,34.653001",洛龙区,洛阳市洛龙区李城路与聂西西路交叉口西100米,超级市场,3.5 ,100,6,1,3,6,2,0,0,0,0,3,0,0,172.4,14086,14312,33971,23477,38.69
大张超市(行署店),"112.422544,34.658864",西工区,洛阳市西工区行署路23号院,大型知名商超,4.5 ,212,13,0,18,12,6,75,6,11,4,6,13,1,133.9005,15701,14909,38783,26889,36.21
绿鲜超市,"112.369697,34.659677",涧西区,洛阳市涧西区联盟路163号,便利店,3.0 ,100,4,0,9,6,3,22,0,4,1,6,2,1,73.228,13023,9607,25431,16032,45.2557
万象购物广场(牌窑店),"112.266101,34.565165",宜阳县,洛阳市宜阳县323省道北50米,商场,4.3 ,50,2,1,4,5,4,4,0,1,0,4,0,0,193.8,6869,4537,19566,18095,60.6
心连心超市(聚和帝居酒店西),"112.426601,34.677466",西工区,洛阳市西工区纱厂西路(好健康药房南侧),超级市场,3.5 ,149,14,0,14,8,6,25,6,14,2,14,20,1,133.9005,15701,14909,38783,26889,36.21
新好又多超市(道南路),"112.436727,34.684459",西工区,洛阳市西工区道南路与金谷园路交叉口西100米,超级市场,2.5 ,201,139,1,25,16,3,25,5,12,0,25,20,2,133.9005,15701,14909,38783,26889,36.21
琴琴超市(卫国路),"112.475907,34.652484",洛龙区,洛阳市洛龙区军民南路与卫国路交叉口南150米,超级市场,3.5 ,209,50,1,23,6,4,9,1,1,1,5,7,0,172.4,14086,14312,33971,23477,38.69
屈臣氏(洛龙宝龙广场店),"112.463372,34.617374",洛龙区,洛阳市洛龙区新区开元大道1号宝龙城市广场首层,超级市场,3.7 ,429,121,3,9,9,13,8,10,2,0,20,19,0,172.4,14086,14312,33971,23477,38.69
盛德美(地质广场店),"112.126605,34.733811",新安县,洛阳市新安县北京路黛眉地质广场西区,超级市场,4.6 ,196,12,0,25,10,9,20,3,3,1,10,25,0,343.9188,9743,7254,22541,17820,47.45
丹尼斯超市(汉华商贸珠江店),"112.417348,34.642886",涧西区,洛阳市涧西区周山路25号,大型知名商超,3.5 ,150,22,0,17,7,1,23,0,6,0,8,5,0,73.228,13023,9607,25431,16032,45.2557
大张超市(谷水店),"112.349721,34.677357",涧西区,洛阳市涧西区建设路278号电车站对面,大型知名商超,4.6 ,146,11,0,19,2,4,12,1,3,1,11,0,1,73.228,13023,9607,25431,16032,45.2557
金永盛购物广场(启明西路店),"112.49643,34.695402",瀍河回族区,洛阳市瀍河回族区启明西路161号,超级市场,3.2 ,50,5,0,17,9,0,24,0,6,2,6,4,0,82.7693,11128,9140,25222.11,13646.73,18.84
家佳乐超市,"112.686365,34.626255",偃师市,洛阳市偃师市320省道南50米,超级市场,2.9 ,5,1,0,3,2,1,0,0,1,0,0,0,0,354.0161,12596,7907,22357,14194,62.1853
旺客隆超市(牡丹大道店),"112.448477,34.611582",洛龙区,洛阳市洛龙区牡丹大道188号湖滨苑(南门)附近,便利店,3.3 ,100,25,0,18,10,3,10,1,11,1,16,17,3,172.4,14086,14312,33971,23477,38.69
大张超市(嵩山店),"112.40243,34.667418",涧西区,洛阳市涧西区嵩山路28-21号,大型知名商超,4.5 ,121,9,0,12,5,4,25,2,5,3,4,5,0,73.228,13023,9607,25431,16032,45.2557
丹尼斯超市(洛宜店),"112.420856,34.618555",洛龙区,洛阳市洛龙区洛宜路与学子路交叉口向北150米,大型知名商超,3.5 ,211,22,0,16,5,2,7,1,5,3,10,5,0,172.4,14086,14312,33971,23477,38.69
宇飞生活量贩(兴隆店),"112.412669,34.63926",涧西区,洛阳市涧西区南昌路与寨南路交叉口东200米,超级市场,3.0 ,117,15,1,17,7,1,25,3,9,0,15,20,0,73.228,13023,9607,25431,16032,45.2557
温馨超市,"112.358208,34.67738",涧西区,洛阳市涧西区建设路西段金桂苑5-0-106号,超级市场,3.0 ,50,7,0,11,2,1,13,1,3,0,7,8,1,73.228,13023,9607,25431,16032,45.2557
