ID,店名,地址,YTD,
50,好又多购物广场高龙店,高龙镇高龙街偃师第五高中路口南200米路北,1485.106833,
51,好又多旗舰店,孟津县人民医院西50米路北,19857.95833,
52,河洛超市,洛阳市凝碧南街与英才路交叉西150米南,0,
53,宏达超市-赵堡乡,宜阳县赵堡乡屏阳中学西隔壁,339.2683333,
54,宏伟超市隆盛店,汝阳县杜康路与新华路交叉口西南角,2109.335,
55,宏伟商贸小店购物中心,小店乡人民大街30号农贸市场内,5397.415333,
56,鸿强购物广场,老县政府对面,7434.063667,
57,华威超市,洛阳市展览路与永泰街交叉西50米南,0,
58,华瀛超市（老店）,联盟路华瀛小区门口,2239.896667,
59,化妆大超市缑氏店,缑氏镇广场东30米一分利隔壁,996.7295,
60,化妆品大世界-城关镇(偃师市),偃师城关镇迎宾路与兴隆街交叉口路西68号,1222.293333,
61,汇金平价超市,洛阳市丽春路与银川路交叉口向西90米路南,0,
62,会杰超市-董王庄乡,董王庄乡政府对面,305.3823333,
63,荟宝日化批发,伊川县兴华路中段城关医院南100米,0,
64,惠丰超市,景华路与陕北一路交叉口北10米,252.0916667,
65,惠民连锁超市,河南省洛阳市洛龙区牡丹大道湖滨小区119号,950.4866667,
66,惠民平价超市,育才路金源量贩斜对面,752.0336667,
67,惠万家便利超市,洛阳市瀛洲路与周山路交叉东150米路北,0,
68,吉家庙锦农友超市,三乡镇吉家庙村中学正对面,1447.052,
69,佳和商超,洛阳市魏紫路与国花路交叉东150米北80米西,0,
70,佳惠购物广场,河南省洛阳市偃师市大口乡政府对面,1521.916167,
71,佳丽化妆品-洛阳市区,洛阳市西工区纱厂十字路口西100米,666.8483333,
72,佳苑量贩,偃师市文化路凤凰佳苑门口,1544.41,
73,家家福超市-古城乡,洛阳市洛龙区龙富小区南门门面房,105.15,
74,家美量贩,涧西区浅井西路家美量贩,0,
75,家园生活超市,洛阳市武昌路与汉口路交叉口东北角,0,
76,见鹤副食批发部,涧河口村花坛东邻,474.8586667,
77,建平超市,河南省洛阳市偃师市山化镇光明村农村信用社东隔壁门朝北,298.1833333,
78,健康家庭超市,洛阳市民族路与西通巷交叉口东25米路南,0,
79,教育超市,洛阳市珠江路与辽宁路交叉口南70米路东小区内,0,
80,金丰园购物广场（贠庄店）,贠庄村贠庄小学向西100米路北,2163.858333,
81,金丰园购物中心,丰李镇卫生院向东30米路北,6507.557667,
82,金牛量贩超越店,国花路47号皇朝丽苑门口,1689.984333,
83,金牛量贩新春天店,陵园路新春天小区,1493.702,
84,金三角，仓头店,新仓大道东头一号楼101,1922.074167,
85,金三角购物广场小浪底店,小浪底镇滨河花园附近,2887.508333,
86,金阳光便利店,西下池文兴水岸小区门口,626.0183333,
87,金源便利店,河南省洛阳市栾川县鸾州大道枫丹白露对面,331.0083333,
88,金源便利伏牛路店,栾川县伏牛北路马圈车站斜对面,1195.820333,
89,金源量贩北街店,栾川县城关镇北大街和兴华街交叉口向北10米,1747.438333,
90,金源量贩河南店,栾川县城关镇君山路汽车站东10米,1869.1125,
91,金源量贩教师新村店,哦长春北路都市雅园小区对面,143.9816667,
92,金源量贩南沟社区店,栾川县山城半山小区对面,1295.238833,
93,金源量贩-石庙乡,石庙街计划生育指导站对面,1623.287167,
94,金源量贩陶湾店,陶湾镇汽车站对面,1429.526667,
95,金源量贩幸西店,栾川县城关镇兴华西街与伊伊路交叉口向东30米地税局隔壁,1505.085,
96,金源量贩洋子沟店,栾川县七里坪洋子沟口东200米,1721.965833,
97,锦农友光明超市,涧河口村花坛南邻,113.7016667,
98,京东便利店,洛阳市高新区150医院旁边,0,
99,京东便利店,洛阳市英才路与美茵街交叉西90米路北,0,
100,京津量贩,洛阳市中州西路与京津路交叉东35米路南,0,
101,九都路建坤,九都路15号九都路与豫博路交叉口向东2米路南,117.827,
102,聚鲜隆超市,河南省洛阳市瀍河区中州路与芳华路交叉向南200米路东,13280.60267,
103,君山生活超市,栾川县伏牛南路君山社区对面,1513.487167,
104,骏景超市,南苑路15号,1245.813333,
105,开元鲜果蔬生活超市,洛阳市经三路与洛宜路经常南90米西,0,
106,科大超市-古城乡(洛龙区),洛龙区开元大道科技大学院内,188.4183333,
107,科大自选超市,西苑路科大校内,588.5576667,
108,寇店镇供销社购物中心,寇店镇人民大街寇店华庭对面5米,1353.645833,
109,老丁超市,首阳山207桥东50米路北门朝南,1783.738667,
110,老马时代广场,河南省洛阳市洛龙区大杨树向东200米,212.0033333,
111,李家兄弟超市,洛阳市开元大道龙祥小区内,0,
112,丽春路盛宜和超市,丽春路盛宜和超市,1016.99,
113,联华超市西下池店,九都路与广电街交叉口南300米,520.345,
114,联华购物中心西下池联华店,西下池村牡丹桥旁春园西路口,525.305,
115,联盟路西城,联盟路与龙鳞路交叉口向东100米,0,
116,靓丽生活馆,庙子街三诚帝福购物广场西70米,531.5906667,
117,刘峰日化,芳达市场新街25号,426.27,
118,留名量贩,洛阳市芳华路与芳菲路交叉北45米路东,0,
119,龙鳞路利民超市,龙鳞路中信重工技校内,0,
120,龙瑞名品超市,宜人路龙瑞小区门口东20米,0,
121,大张量贩兴隆店,珠江路与周山路交叉口向北50米路西,1441.09,
122,大张超市凯旋店,中州中路凯旋建业广场,0,
123,河南大张实业有限公司长安店,长安路与景华路,1160.96,
124,大张盛德美,宜阳县金红旗中路与人民南路交叉口邮电局对面20-2号,51817.07833,
125,河南大张实业有限公司堰师店,偃师市偃师中医院向东50米商都路57号,48502.22833,
126,河南大张实业有限公司盛佳美新安2店,新安县新城区黛眉地质广场,10870.56667,
127,河南大张实业有限公司盛佳美新安店,新安县上海路91号加油站对面,37012.98667,
128,河南大张实业有限公司笑天店,西工区中州中路中段196号,15264.045,
129,大张超市613店,西工区解放路与九都路交叉口西北角金水财富广场一楼,1307.803333,
130,河南大张嵩县店,嵩县白银路西段国土资源局斜对面街1,16874.67667,
131,河南大张实业有限公司大张量贩嵩北店,嵩山路37号嵩山路与建设路交叉口向北70米路西,1143.803333,
132,河南大张实业有限公司大张勤政苑店,勤政苑小区门口勤政苑小区门口,53825.54333,
133,河南大张实业有限公司孟津店,孟津县建设路与会盟路交叉口向东100米大华商贸城内,37218.7,
134,大张超市南华路店,洛阳市武汉路与南华路交叉口向西100米,1759.301667,
135,大张购物广场,洛阳市纱厂西路104号工商银行旁,34218.59833,
136,洛阳大张实业有限公司栾川二店,洛阳市栾川县八一路时代广场,0,
137,大张超市青年宫店,洛阳市老城区中州东路与北大街交叉口青年宫广场28号,7906.92,
138,大张盛德美信尧店,洛宁兴宁西路信尧盛德美2,34570.74167,
139,河南大张实业有限公司关林店,洛龙区开元大道与龙门大道交叉口东200米,49479.03333,
140,大张量贩安乐店,龙门大道140号向左20米,37612.685,
141,河南大张实业有限公司康华店,康真路与景华路交叉口,1791.946667,
142,河南大张实业有限公司九七店,九都路七一路口,1331.718333,
143,大张超市君河湾店,九都东路与夹马营路交叉口东南角,0,
144,洛阳大张超市建安店,环城北路建安门古文化街一层,0,
145,河南大张实业有限公司大张量贩行署店,行署路无号临涧路与行署路交叉口东北角(市气象斜对面),1491.431667,
146,河南大张实业有限公司谷水店,谷水西外语学院东150米,1295.966667,
147,大张量贩152店,高新区丰润东路河洛路口,1699.828333,
148,河南大张实业有限公司道北店,道北春都路82号,1413.305,
149,河南大张实业有限公司磁涧店,磁涧镇下园村磁涧镇政府北500米,1383.201667,
150,大张盛德美购物广场栾川店,滨河大道与伊水路交叉口3号,38901.94167,
151,丹尼斯超市九洲店,玻璃厂路与唐宫路交叉口汉德九洲城,527.4466667,
152,丹尼斯汉华商贸九龙店,瀍河区钰泰九龙苑楼下,1042.733333,
153,丹尼斯超市芳林店,芳林路与滨河北路交叉口西北角,921.1666667,
154,丹尼斯超市,国花路与魏紫路交叉口南200米,0,
155,丹尼斯汉华商贸鹏翔店,汉宫路与经三路交叉口鹏翔小区门口,934.8966667,
156,丹尼斯便利店电厂路店,河南省洛阳市涧西区电厂路丹尼斯便利店,1094.001667,
157,丹尼斯汉华商贸机场店,华山路与机场路交叉口,1070.2,
158,丹尼斯黄河店,黄河路与辽宁路交叉口,1462.285,
159,丹尼斯汉华商贸开元店,开元一号楼下商铺,925.515,
160,丹尼斯超市通元店,凯旋路与纱厂南路交叉口西北角通元国际花园小区东门南,1125.716667,
161,丹尼斯汉华商贸京津店,洛新区310国道与京津路交叉口金鼎名苑3号楼,460.35,
162,丹尼斯超市,洛阳市黄河路与辽宁路交叉口东北角,0,
163,丹尼斯全日鲜嵩山店,洛阳市涧西区嵩山路建设路交叉口向北2000米,863.05,
164,丹尼斯超市汉华商贸丽新店,洛阳市涧西区周山路与丽新路交叉口向北1500米,2001.541667,
165,丹尼斯超市汉华商贸珠江店,洛阳市涧西区周山路与珠江路交叉口向西30米,691.6666667,
166,丹尼斯君悦店,洛阳市君悦蓝庭8号楼1门,127.8333333,
167,丹尼斯超市汉华商贸凝碧店,洛阳市洛龙区滨河南路与凝碧北街交叉口向东100米,1065.083333,
168,丹尼斯汉华商贸关林店,洛阳市洛龙区关林路与厚载门街交叉口向西100米路北,1303.55,
169,丹尼斯超市汉华商贸经三店,洛阳市洛龙区开元大道与经三路交叉口向北1000米,1076.743333,
170,丹尼斯汉华商贸洛宜店,洛阳市洛龙区洛宜路与学子街交叉口向西100米,1521.65,
171,丹尼斯超市汉华商贸太康店,洛阳市洛龙区太康路与厚载门街交叉口向东150米,887.7633333,
172,丹尼斯明珠店,洛阳市洛龙区英才路半岛明珠店,0,
173,丹尼斯锦泉店,洛阳市洛龙永泰街与牡丹大道交叉口南100米,526.8666667,
174,丹尼斯超市,洛阳市洛新大道与京津路交叉东35米北,0,
175,丹尼斯超市,洛阳市武汉路与乐业路交叉口向西150米路南,0,
176,丹尼斯便利鼎城店,洛阳市西工区道北魏紫路与定鼎路交叉口向西300米,1867.043333,
177,丹尼斯黎明店,洛阳市西工区国花路香榭里黎明88号-103,82.31666667,
178,丹尼斯贵隆园店,洛阳市西工区汉宫路与华山路交叉口贵隆园8-105.106,92.46666667,
179,丹尼斯超市汉华商贸丽都店,洛阳市西工区王城大道与道北三路交叉口向西50米路南,1226.815,
180,丹尼斯汉华商贸双瑞店,洛宜路与瀛洲路交叉口,1039.95,
181,丹尼斯洛阳南昌店,南昌路130号,80346.975,
182,丹尼斯超市升龙店,升龙广场A区12号楼底商铺1-13号,1147.4,
183,丹尼斯香榭丽店,西工区九都路与解放路交叉口东200米,100.5833333,
184,丹尼斯水木菁华店,瀛洲路1001号商3栋101,91.81666667,
185,欣达生活量贩,洛阳市安乐西岗18,0,
186,新百顺生活超市,洛阳市李城路洛龙三中南40米路西,783.645,
187,新诚日化商行,关林商贸城6街4号,1112.346833,
188,新村超市-洛阳市区,金谷园村大街中段16栋7号,250.335,
189,新华兵超市,洛阳市香山路与通济路交叉西120米南,0,
190,新惠民超市,洛阳市通济街与香山路交叉南70米路西,0,
191,新疆路惠万家生鲜超市,新疆路惠万家生鲜超市,0,
192,新锦祥购物中心,洛阳市洛岳路向阳村西50米路南,0,
193,新乐福超市,农商银行段湾分理处东隔壁顾龙线南22号,1935.628833,
194,新龙祥超市,洛阳市通济街与香山路交叉南60米路西,0,
195,新雅日化（张午店）,宜阳县张坞小学对面,2281.161667,
196,新颜美妆,栾川县汽车站西100米路北,1746.718667,
197,鑫荣烟酒批发,洛阳市汉口路联盟路交叉口北160米路东,0,
198,鑫馨日化部,皂角树食品街南排33号,452.255,
199,鑫源批发,莲庄乡涧河村集贸市场北邻,382.9416667,
200,兴源批发商行,洛宁县寨沟村寨沟仓库,1971.065,
201,幸福源超市-古城乡(洛龙区),学府街丰登超市对面,0,
202,雪竹化妆品大世界旗舰店,洛神路东西亳市场,919.7271667,
203,雅芳日化(建设路),嵩县建设路住房和城乡建设局,1087.028333,
204,晏杨洗化,展览路与广利街交叉口宝龙批发中心,0,
205,阳光便民超市-洛阳市区,宜人路龙瑞C区门口东10米,0,
206,一分利超市,偃师市缑氏镇顾刘路人民政府向西100米23号,813.453,
207,伊源超市0379-002493,陶湾乡陶湾主街23号,655.1585,
208,宜惠佳超市,洛阳市关圣路与太康路交叉南80米路西,0,
209,宜价生活广场,洛阳市京津路与河流交叉北120米西80米南,0,
210,宜品超市,洛阳市牡丹宫路与郑村大街西10米北,0,
211,宜阳大宇超市,宜阳城关镇锦华购物广场负一楼,2961.068333,
212,宜阳家鑫,宜阳县北城区家鑫购物广场,28417.62667,
213,宜阳矿口超市,红旗路与矿口路交叉向东200米北排,91.15666667,
214,亿家隆购物广场,马屯镇政府东100米,19267.05667,
215,亿家生活超市龙翔店,红山街道龙翔大道忠诚购物广场北200米,620.2026667,
216,亿家生活超市中鑫店,道北五路与经三路交叉口南100米路西,912.7893333,
217,益多便利店,洛阳市香山路与通济路交叉西110米南,0,
218,源润生活量贩,洛阳市香山路与厚载门街交叉东120米南,0,
219,云马鲜生生活超市,洛阳市洛宜路与富弼街交叉东,0,
220,张午供销社批发部,宜阳县张坞乡乡政府对面东南角,2192.822,
221,长春超市,栾川县长春路35号,16213.975,
222,长春超市陈家门店,栾川县伏牛北路陈家门广场对面,1205.95,
223,长春家世界（君山路）,洛阳市栾川县长春路与耕莘路交叉口东20米,1726.145,
224,长申国际,涧西区辽宁路与丽新路交叉口,2580.22,
225,芝泉百货,河南省洛阳市新安县东区畛河路口,803.8583333,
226,志华日化纸品,长安路与西苑路交叉口北100米,876.9983333,
227,智选超市,升龙广场牡丹家居对面,478.7666667,
228,中迈红东方便利店芳林路店,九都路与芳林路交叉口南100米（红东方商务楼下）,36.42666667,
229,中迈红东方便利店唐宫路店,洛阳市唐宫中路与定鼎北路交叉口向西150米路南,0,
230,忠诚超市,联盟路与江西路东100米小商品市场隔壁,4806.0995,
231,忠诚超市梧桐里店,凯瑞梧桐里（310国道南）,2468.822333,
232,忠诚购物广场（五三七店）,洛阳市瀍河区邙山路与振兴路口路南19号,5389.497167,
233,忠诚购物广场（下沟店）,红山街道龙翔大道忠诚购物广场,1393.1135,
234,忠诚精品超市,开元大道与学府街交叉口东南角,5826.302333,
235,众志,偃师市槐新路众志购物中心2层,0,
236,众志超市,洛阳市西工区涧东路与行署路交叉口向南50米路西,0,
237,众志超市,洛阳市振兴南路与邙山路交叉口西10米路北,0,
238,周天百货,洛阳市天津路与西苑路交叉口向南13米路西,0,
239,周天百货(文化南路),洛阳市伊川县文化南路酒厂北二十米,0,
240,周天百货（总部）,伊川县南街村新新路16排1号,4384.992,
241,周天百货白元店,白元菜市场对面,758.2116667,
242,周天百货-城关镇(嵩县),嵩县建设路二轻医院东30米,402.8035,
243,周天百货日化精品店,洛阳市伊川县酒厂南路35号,0,
244,周天百货嵩县旗舰店,嵩县白云路国土资源交易大厦楼下,414.2326667,
245,周天谷水店,周天名妆建设路与中州西路,1453.381667,
246,周天名妆,老城隋洲大街30号,24334.79783,
247,周天名妆总仓,江西路联盟路交叉口东50米路北,0,
248,周天牡丹路店,牡丹路上海市场南街口,1200.031333,
249,周天天津路店,周天天津路牡丹广场西头,1942.968833,
250,子正仓库,关林商贸城5-1-7,18598.59,
251,陇尚华联超市孟津旗舰店,洛阳市孟津县会盟大道与河清路交叉口向东20米路北,25906.50333,
252,洛宁盛德美,永宁大道与翔梧路交叉口23号,35258.30667,
253,洛阳汉华商贸有限公司观澜店,洛阳市洛龙区洛宜路东方经典观澜15号门面房102,896.825,
254,洛阳市洛龙区富韩便民超市,洛阳市开元大道与学府街交叉东190米南,0,
255,洛阳珍珍平价超市,洛阳市香山路与广利街交叉西40米南,0,
256,洛阳中迈红东方商贸有限公司,王城路九都路口中迈红东方广场公寓楼6楼606室,1127.726667,
257,绿城量贩,关林路无号关林路与红旗巷交叉口向西45米路北,1553.180333,
258,绿城日化,河南省洛阳市涧西区中桥绿城25号楼,695.0266667,
259,绿优优超市,前进桥南头锦桥国际楼下,2446.463333,
260,美洁超市,洛阳市秦岭路江南绿苑小区门口,0,
261,美乐美，中州东路店,中州东路市第一人民医院对面美乐美,750.1633333,
262,美乐美天津路店,天津路联盟路交叉口往北100米路东,1974.630833,
263,美乐美武汉路店,武汉路南华路口交叉口往北100米路西,1366.738333,
264,美味多水果超市,洛阳市广利街与牡丹大道交叉南50米西,0,
265,美宜佳超市（中沟店）,道北五路与经三路交叉口南200米路西,539.075,
266,美源日化,嵩县嵩州路359号,5004.8225,
267,米谷便利店,洛阳市丽春路与防洪渠交叉口向西40米路北,0,
268,民正洗化,关林商贸城6街18号,536.5833333,
269,名创佳佳乐超市（龙祥商业街店）,龙祥商业街五号开元大道与龙祥商业街交北150米路东,1089.050333,
270,明星化妆品批发部,关林商贸城5-6-13房,1553.341667,
271,牧泽超市,黄龙庙村村东口路南,1887.395,
272,宁波百货,关林皂角树食品街南排20号,244.2183333,
273,庞村镇化妆品大超市,庞村镇绝山岭车站西100米,1223.688333,
274,鹏泰超市,伊川县鸣皋镇鸣皋村洛栾高速公路与鸣白路向西1000米,43.24333333,
275,琪美化妆品-洛阳市区,洛阳市西工区纱厂十字路口西150米,794.0691667,
276,清源日化,关林商贸城小商品大厅23号,1739.052,
277,全佳乐购物广场,河南省偃师市佃庄乡潘寨大街十字路口西南加油站南面,1342.349667,
278,人人家,洛阳市洛宜公路与龙门大道交叉西北角,0,
279,瑞兴廉价超市,偃师市城关镇前杜楼路口西50米,0,
280,润颜日化,陶湾街杏花村酒店对门,1255.985,
281,三禾超市-龙门镇(洛龙区),洛阳市龙门镇海校路口,0,
282,三阳超市,翟镇镇镇医院西50米路北,253.1466667,
283,色彩化妆品(唐宫西路),唐宫西路小商品市场对面,0,
284,色彩孟津店,城关镇小浪底大道社保局对面,0,
285,色彩日化超市002424,平乐镇白常路平乐街菜市场对面,1640.897,
286,色彩英才店,英才路中泰华庭三号楼四号商铺,0,
287,沙坡头玉新批零超市,莲庄镇沙坡头车站东,3384.4895,
288,神都大厦百惠超市,九都路立交桥东侧黄梅路168号神都大厦东200米,217.85,
289,盛德美,伊川县人民中路一号,68406.82833,
290,食品批发零售部,董王庄乡政府斜对面,202.525,
291,世纪隆超市,河南省洛阳市涧西区长春路36号,1007.888667,
292,舒蕾化妆品日化,白马寺镇枣园村口19号,568.3033333,
293,双祥便利店,洛阳市邙山镇道北三路中段农贸市场西80米,0,
294,顺达食品批零部,宜阳县张坞乡政府对面,483.7586667,
295,四岭锦农友连锁会成超市,莲庄镇四岭村十字路口东,471.8071667,
296,嵩县周天,嵩县人民路白云商厦东门对面,254.0133333,
297,素敏日化,芳达市场化妆品大厅22号,2001.028333,
298,太原路丽春便利,联盟路2号联盟路与太原路交西10米北,2454.523333,
299,唐莊超市,上阳路上阳小区东50米,0,
300,特别超市购物广场,洛阳市京津路与洛新大道交叉北90米西,0,
301,腾辉超市,韩城镇东关村小学向西50米,2028.04,
302,天虎超市,洛阳市軍民路与映雪路交叉西10米南,0,
303,天丽化妆品-洛北乡,唐宫路与八一路口,779.0783333,
304,天猫小店,洛阳市关林路与关胜街交叉口西30米路北,0,
305,天猫小店,洛阳市厚载门街与香山路交叉口南60米路西,0,
306,天资日化-城关镇(伊川县),伊川县城关镇酒城路与人民大街交叉口东总工会对面,783.0751667,
307,统帅批发部,宜阳北城区段村老街,271.48,
308,完美化妆品城,伊川县葛寨乡人民大街七十一号,0,
309,万福隆购物广场,黛眉山地质广场新吉祥酒店对面,208.8716667,
310,万家超市,洛阳市后载门街与关林路交叉南50米西,0,
311,万家购物生活广场,洛阳市翠云东路与关圣路交叉口向东200米路北,0,
312,万家惠超市,洛阳市学子路与洛宜路交叉北80米东,0,
313,万年青生活超市,孙留村大队部对面,1986.785,
314,万生购物广场002463,张午乡乡政府向东100米路北,4214.333833,
315,万象购物广场,洛阳市北街与辛店步行街交叉东10米北,1425.268333,
316,万象购物广场,宜阳韩城汽车站，韩城镇人民政府东临23号,0,
317,王府井百货-洛阳市,中州中路429号中州中路与纱厂南路交叉口路东,59010.15833,
318,温馨便利超市,洛阳市联盟路与天津路交叉西140米北,0,
319,武汉路大宝,武汉路与西苑路交叉口路西,393.3996667,
320,西城量贩，道北店,春都路苗南西路交叉口西50米,1165.293333,
321,小吉化妆品超市,洛阻龙门镇海校路口西500米,1430.288667,
322,校园超市-洛阳市区,西苑路203号河南科技大学内,0,
323,易客来,洛阳市积翠南街与英才路交叉口西80米路南,0,
324,易客来,洛阳市洛宜路与学府路交叉口向西230米路北,0,
